S.NO,District Name
1,Ariyalur
2,Chengalpattu
3,Chennai
4,Coimbatore
5,Cuddalore
6,Dharmapuri
7,Dindigul
8,Erode
9,Kallakurichi
10,Kancheepuram
11,Kanniyakumari
12,Karur
13,Krishnagiri
14,Madurai
15,Mayiladuthurai
16,Nagapattinam
17,Namakkal
18,Perambalur
19,Pudukkottai
20,Ramanathapuram
21,Ranipet
22,Salem
23,Sivagangai
24,Tenkasi
25,Thanjavur
26,The Nilgiris
27,Theni
28,Thiruvannamalai
29,Thoothukudi
30,Tiruchirapalli
31,Tirunelveli
32,Tirupathur
33,Tiruppur
34,Tiruvallur
35,Tiruvarur
36,Vellore
37,Villupuram
38,Virudhunagar
